Archer Daniels Midland PE Ratio Historical Data,Archer Daniels Midland PE Ratio Historical Data,Archer Daniels Midland PE Ratio Historical Data,Archer Daniels Midland PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,46.52,,12.89
2024-12-31,50.52,$3.61,13.99
2024-09-30,59.18,$3.50,16.91
2024-06-30,59.39,$4.98,11.92
2024-03-31,61.19,$5.70,10.74
2023-12-31,69.7,$6.40,10.89
2023-09-30,72.35,$7.18,10.08
2023-06-30,72.09,$7.49,9.63
2023-03-31,75.54,$7.97,9.48
2022-12-31,87.56,$7.71,11.36
2022-09-30,75.55,$7.25,10.42
2022-06-30,72.54,$6.35,11.42
2022-03-31,83.99,$5.43,15.47
2021-12-31,62.57,$4.79,13.06
2021-09-30,55.24,$4.63,11.93
2021-06-30,55.45,$4.10,13.53
2021-03-31,51.87,$3.68,14.1
2020-12-31,45.56,$3.15,14.46
2020-09-30,41.71,$2.83,14.74
2020-06-30,35.51,$3.15,11.27
2020-03-31,30.99,$2.73,11.35
2019-12-31,40.51,$2.45,16.53
2019-09-30,35.6,$2.11,16.87
2019-06-30,35.04,$2.33,15.04
2019-03-31,36.73,$2.91,12.62
2018-12-31,34.6,$3.20,10.81
2018-09-30,42.15,$4.03,10.46
2018-06-30,38.17,$3.43,11.13
2018-03-31,35.85,$2.91,12.32
2017-12-31,32.87,$2.80,11.74
2017-09-30,34.58,$2.14,16.16
2017-06-30,33.41,$2.38,14.04
2017-03-31,36.89,$2.38,15.5
2016-12-31,36.31,$2.18,16.66
2016-09-30,33.31,$2.64,12.62
2016-06-30,33.65,$2.47,13.62
2016-03-31,28.26,$2.61,10.83
2015-12-31,28.28,$2.99,9.46
2015-09-30,31.73,$2.88,11.02
2015-06-30,36.69,$3.61,10.16
2015-03-31,35.88,$3.80,9.44
2014-12-31,39.13,$3.43,11.41
2014-09-30,38.27,$2.91,13.15
2014-06-30,32.88,$2.49,13.2
2014-03-31,32.17,$2.02,15.93
2013-12-31,31.99,$2.03,15.76
2013-09-30,27.03,$2.24,12.06
2013-06-30,24.75,$1.80,13.75
2013-03-31,24.48,$1.89,12.95
2012-12-31,19.76,$2.08,9.5
2012-09-30,19.47,$1.43,13.62
2012-06-30,21.01,$1.83,11.48
2012-03-31,22.41,$1.40,16.01
2011-12-31,20.13,$1.66,12.13
2011-09-30,17.36,$2.68,6.48
2011-06-30,20.98,$2.54,8.26
2011-03-31,24.93,$2.54,9.82
2010-12-31,20.73,$2.33,8.9
2010-09-30,21.89,$2.07,10.58
2010-06-30,17.62,$2.30,7.66
2010-03-31,19.61,$2.30,8.53
2009-12-31,21.14,$1.66,12.74
