Provident Financial Holdings PE Ratio Historical Data,Provident Financial Holdings PE Ratio Historical Data,Provident Financial Holdings PE Ratio Historical Data,Provident Financial Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.01,,15.4
2024-12-31,15.91,$0.91,17.48
2024-09-30,14.22,$1.09,13.05
2024-06-30,12.26,$1.06,11.57
2024-03-31,12.98,$1.04,12.48
2023-12-31,12.12,$1.15,10.54
2023-09-30,12.42,$1.17,10.62
2023-06-30,11.98,$1.21,9.9
2023-03-31,12.66,$1.29,9.81
2022-12-31,12.67,$1.19,10.64
2022-09-30,12.94,$1.16,11.15
2022-06-30,13.38,$1.22,10.97
2022-03-31,14.78,$1.32,11.2
2021-12-31,14.65,$1.30,11.27
2021-09-30,14.81,$1.16,12.77
2021-06-30,15.06,$1.01,14.91
2021-03-31,14.62,$0.78,18.74
2020-12-31,13.47,$0.72,18.71
2020-09-30,10.1,$0.87,11.61
2020-06-30,11.25,$1.00,11.25
2020-03-31,12.64,$0.89,14.2
2019-12-31,18.06,$0.72,25.08
2019-09-30,17.0,$0.67,25.37
2019-06-30,17.08,$0.58,29.45
2019-03-31,16.1,$0.66,24.4
2018-12-31,12.44,$0.91,13.67
2018-09-30,14.57,$0.55,26.49
2018-06-30,15.08,$0.28,53.85
2018-03-31,14.19,$0.22,64.48
2017-12-31,14.32,$0.13,110.14
2017-09-30,15.14,$0.41,36.93
2017-06-30,14.76,$0.64,23.06
2017-03-31,14.2,$0.83,17.11
2016-12-31,15.29,$0.87,17.58
2016-09-30,14.7,$0.80,18.37
2016-06-30,13.66,$0.88,15.52
2016-03-31,12.64,$0.85,14.87
2015-12-31,13.91,$0.96,14.49
2015-09-30,12.27,$1.10,11.15
2015-06-30,12.15,$1.07,11.36
2015-03-31,11.52,$1.01,11.41
2014-12-31,10.83,$0.86,12.59
2014-09-30,10.37,$0.77,13.46
2014-06-30,10.25,$0.66,15.54
2014-03-31,10.8,$0.93,11.61
2013-12-31,10.44,$1.24,8.42
2013-09-30,11.48,$1.72,6.67
2013-06-30,10.91,$2.38,4.58
2013-03-31,11.64,$2.28,5.1
2012-12-31,11.92,$2.04,5.84
2012-09-30,9.65,$1.56,6.19
2012-06-30,7.8,$0.96,8.12
2012-03-31,7.37,$0.75,9.82
2011-12-31,6.26,$0.74,8.45
2011-09-30,5.85,$0.95,6.15
2011-06-30,5.34,$1.15,4.64
2011-03-31,5.52,$1.25,4.42
2010-12-31,4.81,$1.08,4.46
2010-09-30,3.86,$1.08,3.58
2010-06-30,3.18,$-0.14,0.0
2010-03-31,2.3,$-0.21,0.0
2009-12-31,1.82,$-0.65,0.0
