Trinity Biotech PE Ratio Historical Data,Trinity Biotech PE Ratio Historical Data,Trinity Biotech PE Ratio Historical Data,Trinity Biotech PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.68,,0.0
2024-09-30,1.1,$-2.26,0.0
2024-06-30,2.13,$-2.70,0.0
2024-03-31,2.04,$-2.79,0.0
2023-12-31,2.15,$-3.17,0.0
2023-09-30,3.68,$-3.75,0.0
2023-06-30,4.76,$-4.05,0.0
2023-03-31,4.7,$-4.70,0.0
2022-12-31,4.95,$-6.45,0.0
2022-09-30,5.36,$-5.45,0.0
2022-06-30,6.13,$-3.80,0.0
2022-03-31,5.3,$-2.55,0.0
2021-12-31,7.15,$0.45,15.89
2021-09-30,10.8,$-0.80,0.0
2021-06-30,14.7,$0.35,42.0
2021-03-31,18.8,$0.60,31.33
2020-12-31,19.05,$-0.10,0.0
2020-09-30,10.1,$-2.90,0.0
2020-06-30,10.9,$-4.30,0.0
2020-03-31,5.5,$-5.25,0.0
2019-12-31,5.17,$-5.10,0.0
2019-09-30,6.05,$-5.35,0.0
2019-06-30,8.25,$-5.40,0.0
2019-03-31,14.25,$-4.35,0.0
2018-12-31,11.45,$-4.20,0.0
2018-09-30,20.0,$-7.60,0.0
2018-06-30,25.0,$-7.65,0.0
2018-03-31,25.75,$-7.60,0.0
2017-12-31,25.5,$-7.45,0.0
2017-09-30,28.05,$-18.10,0.0
2017-06-30,30.0,$-18.30,0.0
2017-03-31,29.8,$-18.05,0.0
2016-12-31,34.6,$-18.60,0.0
2016-09-30,66.1,$0.55,120.18
2016-06-30,56.7,$3.30,17.18
2016-03-31,58.3,$3.35,17.4
2015-12-31,58.8,$4.50,13.07
2015-09-30,57.2,$4.90,11.67
2015-06-30,90.3,$3.15,28.67
2015-03-31,95.08,$3.55,26.78
2014-12-31,86.49,$3.60,24.02
2014-09-30,90.24,$3.65,24.72
2014-06-30,113.75,$2.10,54.17
2014-03-31,118.58,$2.05,57.85
2013-12-31,123.04,$2.05,60.02
2013-09-30,106.5,$2.10,50.71
2013-06-30,82.47,$3.75,21.99
2013-03-31,81.67,$3.85,21.21
2012-12-31,69.77,$3.90,17.89
2012-09-30,60.81,$3.80,16.0
2012-06-30,58.06,$3.70,15.69
2012-03-31,50.95,$3.60,14.15
2011-12-31,48.61,$3.50,13.89
2011-09-30,43.74,$3.45,12.68
2011-06-30,47.46,$3.25,14.6
2011-03-31,44.34,$14.40,3.08
2010-12-31,41.65,$14.30,2.91
2010-09-30,29.92,$14.20,2.11
2010-06-30,28.74,$14.20,2.02
2010-03-31,25.76,$2.90,8.88
2009-12-31,19.1,$2.75,6.94
