Southern Missouri Bancorp PE Ratio Historical Data,Southern Missouri Bancorp PE Ratio Historical Data,Southern Missouri Bancorp PE Ratio Historical Data,Southern Missouri Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,53.63,,11.71
2024-12-31,57.37,$4.58,12.53
2024-09-30,56.29,$4.35,12.94
2024-06-30,44.66,$4.41,10.13
2024-03-31,43.16,$4.59,9.4
2023-12-31,52.45,$3.82,13.73
2023-09-30,37.84,$4.01,9.44
2023-06-30,37.43,$3.89,9.62
2023-03-31,36.18,$3.93,9.21
2022-12-31,44.12,$4.74,9.31
2022-09-30,48.93,$4.83,10.13
2022-06-30,43.23,$5.22,8.28
2022-03-31,47.49,$5.34,8.89
2021-12-31,49.42,$5.58,8.86
2021-09-30,42.37,$5.55,7.63
2021-06-30,42.25,$5.21,8.11
2021-03-31,36.91,$4.44,8.31
2020-12-31,28.37,$3.72,7.63
2020-09-30,21.86,$3.24,6.75
2020-06-30,22.38,$3.00,7.46
2020-03-31,22.19,$3.05,7.27
2019-12-31,34.93,$3.26,10.71
2019-09-30,33.03,$3.23,10.23
2019-06-30,31.58,$3.14,10.06
2019-03-31,27.82,$2.96,9.4
2018-12-31,30.51,$2.80,10.89
2018-09-30,33.41,$2.59,12.9
2018-06-30,34.86,$2.39,14.59
2018-03-31,32.6,$2.25,14.49
2017-12-31,33.38,$2.18,15.31
2017-09-30,32.31,$2.14,15.1
2017-06-30,28.46,$2.08,13.68
2017-03-31,31.24,$2.08,15.02
2016-12-31,31.03,$2.00,15.51
2016-09-30,21.75,$2.00,10.88
2016-06-30,20.47,$1.98,10.34
2016-03-31,20.82,$1.96,10.62
2015-12-31,20.64,$1.95,10.58
2015-09-30,17.82,$1.39,12.82
2015-06-30,16.14,$1.36,11.91
2015-03-31,16.08,$1.28,12.57
2014-12-31,16.11,$1.16,13.89
2014-09-30,15.16,$1.53,9.94
2014-06-30,15.0,$1.45,10.35
2014-03-31,14.46,$1.42,10.18
2013-12-31,13.85,$1.46,9.52
2013-09-30,11.02,$1.45,7.6
2013-06-30,10.57,$1.44,7.34
2013-03-31,10.75,$1.42,7.6
2012-12-31,9.14,$1.38,6.62
2012-09-30,9.74,$1.50,6.52
2012-06-30,8.64,$1.74,4.97
2012-03-31,10.24,$2.00,5.13
2011-12-31,8.94,$2.11,4.25
2011-09-30,8.16,$2.91,2.8
2011-06-30,8.18,$2.59,3.16
2011-03-31,8.74,$2.24,3.9
2010-12-31,6.71,$2.04,3.3
2010-09-30,5.99,$1.01,5.96
2010-06-30,5.75,$0.98,5.87
2010-03-31,5.4,$0.95,5.71
2009-12-31,4.43,$0.93,4.76
