Cooper-Standard Holdings PE Ratio Historical Data,Cooper-Standard Holdings PE Ratio Historical Data,Cooper-Standard Holdings PE Ratio Historical Data,Cooper-Standard Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,16.93,,0.0
2024-12-31,13.56,$-4.54,0.0
2024-09-30,13.87,$-9.94,0.0
2024-06-30,12.44,$-8.66,0.0
2024-03-31,16.56,$-5.93,0.0
2023-12-31,19.54,$-11.69,0.0
2023-09-30,13.42,$-13.65,0.0
2023-06-30,14.26,$-16.20,0.0
2023-03-31,14.24,$-16.52,0.0
2022-12-31,9.06,$-12.53,0.0
2022-09-30,5.84,$-13.39,0.0
2022-06-30,4.99,$-18.69,0.0
2022-03-31,8.77,$-20.49,0.0
2021-12-31,22.41,$-18.91,0.0
2021-09-30,21.91,$-14.54,0.0
2021-06-30,29.0,$-7.08,0.0
2021-03-31,36.32,$-11.28,0.0
2020-12-31,34.67,$-15.83,0.0
2020-09-30,13.21,$-18.22,0.0
2020-06-30,13.25,$-19.30,0.0
2020-03-31,10.27,$-3.01,0.0
2019-12-31,33.16,$3.34,9.93
2019-09-30,40.88,$6.04,6.77
2019-06-30,45.82,$8.63,5.31
2019-03-31,46.96,$2.55,18.42
2018-12-31,62.12,$5.82,10.67
2018-09-30,119.98,$8.65,13.87
2018-06-30,130.67,$8.20,15.94
2018-03-31,122.81,$8.06,15.24
2017-12-31,122.5,$7.19,17.04
2017-09-30,115.97,$7.31,15.86
2017-06-30,100.87,$7.93,12.72
2017-03-31,110.93,$7.99,13.88
2016-12-31,103.38,$7.43,13.91
2016-09-30,98.8,$6.94,14.24
2016-06-30,78.99,$6.78,11.65
2016-03-31,71.84,$6.56,10.95
2015-12-31,77.59,$6.07,12.78
2015-09-30,58.0,$4.12,14.08
2015-06-30,61.47,$3.57,17.22
2015-03-31,59.2,$2.31,25.63
2014-12-31,57.88,$2.26,25.61
2014-09-30,62.4,$1.61,38.76
2014-06-30,66.16,$1.46,45.32
2014-03-31,70.65,$2.08,33.97
2013-12-31,49.11,$1.84,26.69
2013-09-30,50.0,$2.58,19.38
2013-06-30,46.5,$1.50,31.0
2013-03-31,41.6,$0.16,260.0
2012-12-31,38.0,$-0.70,0.0
2012-09-30,37.5,0,0.0
2012-06-30,37.0,0,0.0
2012-03-31,43.74,0,0.0
2011-12-31,34.5,0,0.0
2011-09-30,42.0,0,0.0
2011-06-30,46.0,0,0.0
2011-03-31,45.1,0,0.0
