BioAffinity Technologies PE Ratio Historical Data,BioAffinity Technologies PE Ratio Historical Data,BioAffinity Technologies PE Ratio Historical Data,BioAffinity Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.28,,0.0
2024-09-30,2.08,$-0.82,0.0
2024-06-30,2.16,$-0.92,0.0
2024-03-31,2.02,$-0.93,0.0
2023-12-31,1.47,$-0.90,0.0
2023-09-30,1.16,$-0.64,0.0
2023-06-30,1.83,$-1.48,0.0
