PulteGroup PE Ratio Historical Data,PulteGroup PE Ratio Historical Data,PulteGroup PE Ratio Historical Data,PulteGroup PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,105.34,,7.16
2024-12-31,108.9,$14.71,7.4
2024-09-30,143.53,$13.56,10.58
2024-06-30,109.94,$13.11,8.39
2024-03-31,120.23,$12.49,9.63
2023-12-31,102.7,$11.74,8.75
2023-09-30,73.53,$12.31,5.97
2023-06-30,76.98,$12.10,6.36
2023-03-31,57.63,$11.62,4.96
2022-12-31,44.89,$11.10,4.04
2022-09-30,36.84,$9.86,3.74
2022-06-30,38.79,$8.99,4.31
2022-03-31,40.87,$8.16,5.01
2021-12-31,55.57,$7.46,7.45
2021-09-30,44.52,$6.47,6.88
2021-06-30,52.75,$6.19,8.52
2021-03-31,50.56,$5.58,9.06
2020-12-31,41.46,$5.19,7.99
2020-09-30,44.36,$4.79,9.26
2020-06-30,32.52,$4.24,7.67
2020-03-31,21.25,$3.81,5.58
2019-12-31,36.8,$3.66,10.05
2019-09-30,34.56,$3.28,10.54
2019-06-30,29.81,$3.30,9.03
2019-03-31,26.27,$3.56,7.38
2018-12-31,24.32,$3.56,6.83
2018-09-30,23.08,$2.98,7.74
2018-06-30,26.7,$2.55,10.47
2018-03-31,27.3,$1.75,15.6
2017-12-31,30.69,$1.44,21.31
2017-09-30,25.16,$2.01,12.52
2017-06-30,22.5,$1.80,12.5
2017-03-31,21.52,$1.82,11.83
2016-12-31,16.73,$1.78,9.4
2016-09-30,18.16,$1.59,11.42
2016-06-30,17.58,$1.52,11.56
2016-03-31,16.8,$1.46,11.5
2015-12-31,15.92,$1.37,11.62
2015-09-30,16.77,$1.31,12.8
2015-06-30,17.84,$1.38,12.93
2015-03-31,19.6,$1.21,16.19
2014-12-31,18.85,$1.25,15.08
2014-09-30,15.45,$1.24,12.46
2014-06-30,17.59,$6.74,2.61
2014-03-31,16.7,$6.72,2.49
2013-12-31,17.68,$6.74,2.62
2013-09-30,14.28,$6.32,2.26
2013-06-30,16.33,$0.75,21.77
2013-03-31,17.42,$0.77,22.62
2012-12-31,15.63,$0.53,29.49
2012-09-30,13.34,$0.42,31.76
2012-06-30,9.21,$-0.22,0.0
2012-03-31,7.62,$-0.48,0.0
2011-12-31,5.43,$-0.55,0.0
2011-09-30,3.4,$-1.03,0.0
2011-06-30,6.59,$-3.32,0.0
2011-03-31,6.37,$-2.97,0.0
2010-12-31,6.47,$-2.90,0.0
2010-09-30,7.54,$-2.77,0.0
2010-06-30,7.13,$-1.30,0.0
2010-03-31,9.68,$-2.24,0.0
2009-12-31,8.61,$-4.23,0.0
