LAVA Therapeutics PE Ratio Historical Data,LAVA Therapeutics PE Ratio Historical Data,LAVA Therapeutics PE Ratio Historical Data,LAVA Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.3,,0.0
2024-09-30,1.66,$-1.03,0.0
2024-06-30,1.8,$-0.91,0.0
2024-03-31,3.33,$-1.08,0.0
2023-12-31,1.58,$-1.59,0.0
2023-09-30,1.47,$-1.92,0.0
2023-06-30,2.03,$-1.54,0.0
2023-03-31,1.66,$-1.37,0.0
2022-12-31,3.5,$-1.25,0.0
2022-09-30,4.57,$-1.06,0.0
2022-06-30,2.95,$-1.37,0.0
2022-03-31,4.4,$-1.34,0.0
2021-12-31,5.5,$-13.21,0.0
