Affinity Bancshares PE Ratio Historical Data,Affinity Bancshares PE Ratio Historical Data,Affinity Bancshares PE Ratio Historical Data,Affinity Bancshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.77,,20.91
2024-09-30,21.41,$0.85,25.19
2024-06-30,21.2,$0.84,25.24
2024-03-31,16.55,$0.92,17.99
2023-12-31,15.97,$0.98,16.3
2023-09-30,14.79,$1.01,14.64
2023-06-30,11.69,$1.03,11.35
2023-03-31,14.32,$1.06,13.51
2022-12-31,15.1,$1.06,14.25
2022-09-30,14.61,$1.00,14.61
2022-06-30,14.85,$0.99,15.0
2022-03-31,15.71,$1.06,14.82
2021-12-31,15.4,$1.11,13.87
2021-09-30,14.05,$0.91,15.44
2021-06-30,12.97,$0.90,14.41
2021-03-31,12.19,$0.70,17.41
2020-12-31,9.9,$0.22,44.99
2020-09-30,7.15,$0.22,32.5
2020-06-30,8.33,$-0.06,0.0
2020-03-31,7.43,$-0.18,0.0
2019-12-31,11.45,$0.01,1145.0
2019-09-30,10.19,$0.03,339.67
2019-06-30,9.93,$0.06,165.5
2019-03-31,10.25,$0.12,85.42
2018-12-31,11.65,$0.14,83.21
2018-09-30,11.7,$-0.01,0.0
2018-06-30,11.11,$-0.01,0.0
2018-03-31,11.36,$-0.06,0.0
