Tempest Therapeutics PE Ratio Historical Data,Tempest Therapeutics PE Ratio Historical Data,Tempest Therapeutics PE Ratio Historical Data,Tempest Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.81,,0.0
2024-09-30,1.4,$-1.53,0.0
2024-06-30,2.19,$-1.60,0.0
2024-03-31,3.91,$-1.72,0.0
2023-12-31,4.4,$-1.91,0.0
2023-09-30,0.3,$-2.20,0.0
2023-06-30,1.27,$-2.38,0.0
2023-03-31,2.32,$-2.63,0.0
2022-12-31,1.15,$-3.26,0.0
2022-09-30,1.74,$-2.63,0.0
2022-06-30,2.15,$-3.18,0.0
2022-03-31,3.38,$-10.02,0.0
2021-12-31,5.28,$-8.84,0.0
2021-09-30,14.47,$-8.84,0.0
2021-06-30,11.18,$-12.73,0.0
2021-03-31,18.0,$-13.49,0.0
2020-12-31,32.1,$-23.24,0.0
2020-09-30,24.45,$-36.28,0.0
2020-06-30,26.4,$-44.23,0.0
2020-03-31,79.2,$-46.93,0.0
2019-12-31,101.1,$-48.87,0.0
2019-09-30,106.65,$-35.83,0.0
2019-06-30,173.4,$-22.79,0.0
2019-03-31,225.0,$-61.15,0.0
2018-12-31,119.25,$-96.65,0.0
2018-09-30,164.2,$-150.60,0.0
2018-06-30,204.16,$-209.04,0.0
2018-03-31,182.47,$-274.23,0.0
2017-12-31,315.0,$-321.43,0.0
2017-09-30,319.5,$-411.34,0.0
2017-06-30,351.0,$-474.28,0.0
2017-03-31,420.75,$-499.00,0.0
2016-12-31,344.25,$-584.42,0.0
2016-09-30,1611.0,$-611.39,0.0
2016-06-30,1172.25,$-638.36,0.0
2016-03-31,2135.25,$-642.86,0.0
2015-12-31,2198.25,$-609.14,0.0
2015-09-30,1910.25,$-615.88,0.0
2015-06-30,6509.24,$-588.91,0.0
2015-03-31,7814.24,$-539.46,0.0
2014-12-31,9949.49,$-485.52,0.0
2014-09-30,3735.0,$-451.80,0.0
2014-06-30,2063.25,$-420.33,0.0
2014-03-31,2011.5,$-406.84,0.0
2013-12-31,2056.5,$-402.35,0.0
2013-09-30,2229.75,$-332.67,0.0
