Johnson Outdoors PE Ratio Historical Data,Johnson Outdoors PE Ratio Historical Data,Johnson Outdoors PE Ratio Historical Data,Johnson Outdoors PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,24.77,,0.0
2024-12-31,33.0,$-4.47,0.0
2024-09-30,35.85,$-2.60,0.0
2024-06-30,34.33,$-0.81,0.0
2024-03-31,44.9,$0.47,95.54
2023-12-31,51.67,$1.71,30.22
2023-09-30,52.57,$1.90,27.67
2023-06-30,58.75,$4.41,13.32
2023-03-31,59.94,$4.35,13.78
2022-12-31,62.61,$3.87,16.18
2022-09-30,48.27,$4.37,11.05
2022-06-30,57.27,$4.10,13.97
2022-03-31,72.51,$5.55,13.06
2021-12-31,87.1,$7.32,11.9
2021-09-30,98.09,$8.21,11.95
2021-06-30,111.98,$9.06,12.36
2021-03-31,131.92,$7.50,17.59
2020-12-31,103.9,$6.78,15.32
2020-09-30,75.36,$5.46,13.8
2020-06-30,83.61,$4.32,19.35
2020-03-31,57.44,$5.24,10.96
2019-12-31,70.11,$5.40,12.98
2019-09-30,53.38,$5.11,10.45
2019-06-30,67.84,$4.23,16.04
2019-03-31,64.8,$4.41,14.69
2018-12-31,53.22,$4.38,12.15
2018-09-30,84.11,$4.05,20.77
2018-06-30,76.35,$4.60,16.6
2018-03-31,55.9,$3.88,14.41
2017-12-31,55.89,$3.12,17.91
2017-09-30,65.95,$3.50,18.84
2017-06-30,43.31,$3.23,13.41
2017-03-31,32.7,$2.26,14.47
2016-12-31,35.47,$1.80,19.71
2016-09-30,32.43,$1.35,24.02
2016-06-30,22.85,$1.68,13.6
2016-03-31,19.68,$2.00,9.84
2015-12-31,19.32,$1.43,13.51
2015-09-30,18.55,$1.06,17.5
2015-06-30,20.64,$0.86,24.0
2015-03-31,28.95,$0.26,111.36
2014-12-31,27.21,$0.57,47.75
2014-09-30,22.53,$0.77,29.25
2014-06-30,22.37,$0.50,44.75
2014-03-31,21.97,$1.47,14.95
2013-12-31,23.23,$1.70,13.66
2013-09-30,23.05,$1.94,11.88
2013-06-30,21.4,$1.97,10.86
2013-03-31,20.49,$1.51,13.57
2012-12-31,17.12,$1.35,12.68
2012-09-30,18.39,$1.03,17.85
2012-06-30,17.71,$3.13,5.66
2012-03-31,16.42,$3.05,5.38
2011-12-31,13.19,$3.18,4.15
2011-09-30,13.22,$3.35,3.95
2011-06-30,14.72,$0.95,15.49
2011-03-31,13.06,$1.21,10.79
2010-12-31,10.76,$0.98,10.98
2010-09-30,11.02,$0.66,16.7
2010-06-30,9.67,$-0.27,0.0
2010-03-31,9.76,$-0.38,0.0
2009-12-31,8.4,$-0.75,0.0
