AMETEK PE Ratio Historical Data,AMETEK PE Ratio Historical Data,AMETEK PE Ratio Historical Data,AMETEK PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,175.93,,29.67
2024-12-31,180.26,$5.93,30.4
2024-09-30,171.46,$5.74,29.87
2024-06-30,166.19,$5.74,28.95
2024-03-31,182.02,$5.69,31.99
2023-12-31,163.85,$5.67,28.9
2023-09-30,146.59,$5.52,26.56
2023-06-30,160.34,$5.34,30.03
2023-03-31,143.71,$5.16,27.85
2022-12-31,137.91,$5.01,27.53
2022-09-30,111.77,$4.89,22.86
2022-06-30,108.1,$4.70,23.0
2022-03-31,130.77,$4.48,29.19
2021-12-31,144.14,$4.25,33.91
2021-09-30,121.39,$3.99,30.42
2021-06-30,130.48,$3.77,34.61
2021-03-31,124.66,$3.49,35.72
2020-12-31,117.84,$3.77,31.26
2020-09-30,96.7,$3.78,25.58
2020-06-30,86.79,$3.86,22.48
2020-03-31,69.8,$4.08,17.11
2019-12-31,96.4,$3.75,25.71
2019-09-30,88.62,$3.70,23.95
2019-06-30,87.54,$3.56,24.59
2019-03-31,79.82,$3.45,23.14
2018-12-31,65.02,$3.34,19.47
2018-09-30,75.84,$3.46,21.92
2018-06-30,69.05,$3.30,20.92
2018-03-31,72.56,$3.12,23.26
2017-12-31,69.09,$2.94,23.5
2017-09-30,62.88,$2.38,26.42
2017-06-30,57.59,$2.28,25.26
2017-03-31,51.35,$2.22,23.13
2016-12-31,46.07,$2.19,21.04
2016-09-30,45.21,$2.29,19.74
2016-06-30,43.66,$2.38,18.34
2016-03-31,47.11,$2.43,19.39
2015-12-31,50.42,$2.45,20.58
2015-09-30,49.14,$2.50,19.66
2015-06-30,51.37,$2.42,21.23
2015-03-31,49.19,$2.39,20.58
2014-12-31,49.18,$2.37,20.75
2014-09-30,46.84,$2.30,20.37
2014-06-30,48.69,$2.25,21.64
2014-03-31,47.87,$2.16,22.16
2013-12-31,48.91,$2.10,23.29
2013-09-30,42.69,$2.04,20.92
2013-06-30,39.18,$1.99,19.69
2013-03-31,40.11,$1.94,20.67
2012-12-31,34.7,$1.88,18.43
2012-09-30,32.69,$1.81,18.03
2012-06-30,30.63,$1.74,17.57
2012-03-31,29.72,$1.66,17.9
2011-12-31,25.76,$1.59,16.24
2011-09-30,20.15,$1.50,13.43
2011-06-30,27.39,$1.58,17.34
2011-03-31,26.73,$1.47,18.14
2010-12-31,23.88,$1.33,17.91
2010-09-30,19.34,$1.21,15.94
2010-06-30,16.24,$0.91,17.82
2010-03-31,16.74,$0.84,19.83
2009-12-31,15.42,$0.97,15.82
