Hennessy Capital Investment VI PE Ratio Historical Data,Hennessy Capital Investment VI PE Ratio Historical Data,Hennessy Capital Investment VI PE Ratio Historical Data,Hennessy Capital Investment VI PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.8,,0.0
2024-09-30,11.59,$-1.07,0.0
2024-06-30,10.55,$-0.46,0.0
2024-03-31,10.43,$-0.10,0.0
2023-12-31,10.45,$0.15,69.67
2023-09-30,10.33,$0.14,73.79
2023-06-30,10.26,$0.13,78.92
2023-03-31,10.1,$0.08,126.25
2022-12-31,9.87,$0.06,164.5
2022-09-30,9.7,0,0.0
