Peoples Bancorp PE Ratio Historical Data,Peoples Bancorp PE Ratio Historical Data,Peoples Bancorp PE Ratio Historical Data,Peoples Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,29.79,,9.0
2024-12-31,31.69,$3.31,9.57
2024-09-30,29.7,$3.51,8.46
2024-06-30,29.21,$3.52,8.3
2024-03-31,28.45,$3.34,8.52
2023-12-31,32.0,$3.46,9.25
2023-09-30,23.73,$3.45,6.88
2023-06-30,24.48,$3.47,7.06
2023-03-31,23.39,$3.71,6.3
2022-12-31,25.34,$3.59,7.06
2022-09-30,25.62,$3.63,7.06
2022-06-30,23.27,$2.43,9.57
2022-03-31,27.01,$2.06,13.11
2021-12-31,27.15,$2.01,13.5
2021-09-30,26.68,$2.07,12.89
2021-06-30,24.7,$2.86,8.64
2021-03-31,27.37,$2.58,10.61
2020-12-31,22.1,$1.75,12.63
2020-09-30,15.34,$1.42,10.8
2020-06-30,16.81,$1.63,10.31
2020-03-31,17.25,$1.86,9.27
2019-12-31,26.71,$2.63,10.16
2019-09-30,24.26,$2.62,9.26
2019-06-30,24.34,$2.55,9.55
2019-03-31,23.37,$2.50,9.35
2018-12-31,22.5,$2.41,9.34
2018-09-30,25.96,$2.19,11.85
2018-06-30,27.78,$2.14,12.98
2018-03-31,25.87,$2.26,11.45
2017-12-31,23.63,$2.10,11.25
2017-09-30,24.17,$2.02,11.97
2017-06-30,22.97,$1.85,12.41
2017-03-31,22.5,$1.76,12.78
2016-12-31,22.92,$1.72,13.32
2016-09-30,17.24,$1.45,11.89
2016-06-30,15.17,$1.24,12.23
2016-03-31,13.5,$1.07,12.62
2015-12-31,12.91,$0.59,21.87
2015-09-30,14.03,$0.73,19.22
2015-06-30,15.76,$0.84,18.76
2015-03-31,15.86,$0.89,17.82
2014-12-31,17.29,$1.37,12.62
2014-09-30,15.74,$1.56,10.09
2014-06-30,17.41,$1.46,11.93
2014-03-31,16.19,$1.60,10.12
2013-12-31,14.64,$1.63,8.98
2013-09-30,13.49,$1.52,8.88
2013-06-30,13.54,$1.74,7.78
2013-03-31,14.28,$1.75,8.16
2012-12-31,12.96,$1.91,6.79
2012-09-30,14.44,$1.88,7.68
2012-06-30,13.79,$1.78,7.75
2012-03-31,10.94,$1.57,6.97
2011-12-31,9.18,$1.07,8.58
2011-09-30,6.77,$0.75,9.02
2011-06-30,6.88,$0.39,17.63
2011-03-31,7.33,$0.40,18.33
2010-12-31,9.47,$0.35,27.05
2010-09-30,7.44,$0.41,18.14
2010-06-30,8.59,$-0.02,0.0
2010-03-31,9.76,$-0.06,0.0
2009-12-31,5.7,$0.23,24.78
