World Acceptance PE Ratio Historical Data,World Acceptance PE Ratio Historical Data,World Acceptance PE Ratio Historical Data,World Acceptance PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,125.1,,8.74
2024-12-31,112.44,$14.32,7.85
2024-09-30,117.98,$14.71,8.02
2024-06-30,123.58,$13.43,9.2
2024-03-31,144.98,$13.26,10.93
2023-12-31,130.53,$11.54,11.31
2023-09-30,127.06,$9.68,13.13
2023-06-30,134.01,$6.73,19.91
2023-03-31,83.29,$3.58,23.27
2022-12-31,65.94,$2.18,30.25
2022-09-30,96.82,$2.34,41.38
2022-06-30,112.24,$4.52,24.83
2022-03-31,191.84,$8.49,22.6
2021-12-31,245.43,$12.48,19.67
2021-09-30,189.58,$13.59,13.95
2021-06-30,160.24,$13.61,11.77
2021-03-31,129.76,$13.41,9.68
2020-12-31,102.22,$9.69,10.55
2020-09-30,105.55,$6.66,15.85
2020-06-30,65.52,$5.21,12.58
2020-03-31,54.61,$3.94,13.86
2019-12-31,86.4,$4.92,17.56
2019-09-30,127.51,$6.37,20.02
2019-06-30,164.11,$7.42,22.12
2019-03-31,117.13,$4.13,28.36
2018-12-31,102.26,$3.09,33.09
2018-09-30,114.36,$2.61,43.82
2018-06-30,111.01,$2.15,51.63
2018-03-31,105.3,$5.95,17.7
2017-12-31,80.72,$6.41,12.59
2017-09-30,82.89,$7.32,11.32
2017-06-30,74.91,$7.98,9.39
2017-03-31,51.78,$8.39,6.17
2016-12-31,64.28,$8.04,8.0
2016-09-30,49.04,$8.64,5.68
2016-06-30,45.6,$9.10,5.01
2016-03-31,37.92,$9.92,3.82
2015-12-31,37.1,$11.97,3.1
2015-09-30,26.84,$12.28,2.19
2015-06-30,61.51,$12.22,5.03
2015-03-31,72.92,$11.70,6.23
2014-12-31,79.45,$9.88,8.04
2014-09-30,67.5,$9.85,6.85
2014-06-30,75.96,$9.49,8.0
2014-03-31,75.08,$9.17,8.19
2013-12-31,87.53,$8.66,10.11
2013-09-30,89.92,$8.26,10.89
2013-06-30,86.94,$8.18,10.63
2013-03-31,85.87,$7.94,10.81
2012-12-31,74.56,$7.47,9.98
2012-09-30,67.45,$7.19,9.38
2012-06-30,65.8,$6.99,9.41
2012-03-31,61.25,$6.63,9.24
2011-12-31,73.5,$6.20,11.85
2011-09-30,55.95,$6.02,9.29
2011-06-30,65.57,$5.76,11.38
2011-03-31,65.2,$5.63,11.58
2010-12-31,52.8,$5.28,10.0
2010-09-30,44.16,$5.05,8.74
2010-06-30,38.31,$4.68,8.19
2010-03-31,36.08,$4.44,8.13
2009-12-31,35.83,$4.40,8.14
