B2Gold Corp PE Ratio Historical Data,B2Gold Corp PE Ratio Historical Data,B2Gold Corp PE Ratio Historical Data,B2Gold Corp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.21,,0.0
2024-09-30,3.04,$-0.56,0.0
2024-06-30,2.62,$-0.11,0.0
2024-03-31,2.5,$-0.03,0.0
2023-12-31,3.02,$0.02,151.2
2023-09-30,2.73,$0.26,10.51
2023-06-30,3.33,$0.27,12.35
2023-03-31,3.64,$0.25,14.56
2022-12-31,3.26,$0.25,13.03
2022-09-30,2.9,$0.23,12.62
2022-06-30,3.02,$0.37,8.16
2022-03-31,4.04,$0.39,10.37
2021-12-31,3.43,$0.40,8.58
2021-09-30,2.96,$0.43,6.87
2021-06-30,3.6,$0.56,6.43
2021-03-31,3.65,$0.62,5.89
2020-12-31,4.7,$0.60,7.84
2020-09-30,5.44,$0.61,8.91
2020-06-30,4.72,$0.41,11.5
2020-03-31,2.53,$0.33,7.66
2019-12-31,3.31,$0.28,11.81
2019-09-30,2.66,$0.05,53.15
2019-06-30,2.49,$0.01,249.29
2019-03-31,2.31,$-0.01,0.0
2018-12-31,2.4,$0.01,0.0
2018-09-30,1.89,$0.10,18.92
2018-06-30,2.12,$0.09,23.59
2018-03-31,2.25,$0.09,24.96
2017-12-31,2.55,$0.04,63.76
2017-09-30,2.3,$0.01,230.37
2017-06-30,2.31,$0.05,46.24
2017-03-31,2.33,$0.02,116.42
2016-12-31,1.95,$0.04,48.75
2016-09-30,2.16,$-0.09,0.0
2016-06-30,2.07,$-0.15,0.0
2016-03-31,1.37,$-0.16,0.0
2015-12-31,0.84,$-0.17,0.0
2015-09-30,0.86,$-0.43,0.0
2015-06-30,1.26,$-0.80,0.0
2015-03-31,1.25,$-0.80,0.0
2014-12-31,1.33,$-0.84,0.0
2014-09-30,1.67,$-0.43,0.0
2014-06-30,2.4,$-0.04,0.0
2014-03-31,2.21,$0.03,73.77
2013-12-31,1.66,$0.07,23.74
2013-09-30,2.04,$0.08,25.51
2013-06-30,1.75,$0.12,14.6
2013-03-31,2.52,$0.10,25.16
2012-12-31,2.94,$0.14,20.97
2012-09-30,3.29,$0.11,29.92
