Lancaster Colony PE Ratio Historical Data,Lancaster Colony PE Ratio Historical Data,Lancaster Colony PE Ratio Historical Data,Lancaster Colony PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,174.17,,30.61
2024-12-31,173.14,$5.69,30.43
2024-09-30,175.66,$5.78,30.39
2024-06-30,187.04,$5.75,32.53
2024-03-31,204.52,$4.82,42.43
2023-12-31,163.18,$4.68,34.87
2023-09-30,160.98,$4.26,37.79
2023-06-30,195.12,$4.03,48.42
2023-03-31,196.02,$4.76,41.18
2022-12-31,189.78,$3.70,51.29
2022-09-30,143.95,$3.50,41.13
2022-06-30,122.78,$3.25,37.78
2022-03-31,141.25,$3.34,42.29
2021-12-31,156.03,$4.56,34.22
2021-09-30,158.21,$4.93,32.09
2021-06-30,180.58,$5.17,34.93
2021-03-31,163.02,$5.12,31.84
2020-12-31,170.1,$4.88,34.86
2020-09-30,164.81,$4.84,34.05
2020-06-30,142.3,$4.97,28.63
2020-03-31,132.24,$5.07,26.08
2019-12-31,145.69,$5.37,27.13
2019-09-30,125.62,$5.52,22.76
2019-06-30,134.04,$5.46,24.55
2019-03-31,140.71,$5.44,25.87
2018-12-31,158.15,$5.33,29.67
2018-09-30,132.94,$5.27,25.23
2018-06-30,122.86,$4.92,24.97
2018-03-31,108.79,$4.78,22.76
2017-12-31,113.6,$4.31,26.36
2017-09-30,105.13,$4.06,25.89
2017-06-30,106.81,$4.21,25.37
2017-03-31,111.74,$4.29,26.05
2016-12-31,122.11,$4.82,25.33
2016-09-30,113.62,$4.65,24.43
2016-06-30,109.37,$4.44,24.63
2016-03-31,94.38,$4.25,22.21
2015-12-31,98.09,$3.94,24.9
2015-09-30,78.95,$3.89,20.3
2015-06-30,73.24,$3.71,19.74
2015-03-31,76.32,$3.56,21.44
2014-12-31,74.72,$2.43,30.75
2014-09-30,67.72,$2.67,25.36
2014-06-30,75.18,$2.75,27.34
2014-03-31,78.18,$2.90,26.96
2013-12-31,68.99,$4.08,16.91
2013-09-30,60.97,$3.92,15.55
2013-06-30,60.4,$3.99,15.14
2013-03-31,59.34,$4.01,14.8
2012-12-31,53.04,$3.88,13.67
2012-09-30,52.23,$3.71,14.08
2012-06-30,50.53,$3.51,14.4
2012-03-31,46.91,$3.63,12.92
2011-12-31,48.66,$3.67,13.26
2011-09-30,42.6,$3.81,11.18
2011-06-30,42.24,$3.84,11.0
2011-03-31,41.84,$3.58,11.69
2010-12-31,39.26,$3.73,10.53
2010-09-30,32.41,$3.88,8.35
2010-06-30,36.17,$4.08,8.87
2010-03-31,39.75,$4.28,9.29
2009-12-31,33.32,$4.18,7.97
