Synlogic PE Ratio Historical Data,Synlogic PE Ratio Historical Data,Synlogic PE Ratio Historical Data,Synlogic PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.3,,0.0
2024-12-31,1.4,$-2.51,0.0
2024-09-30,1.49,$-4.16,0.0
2024-06-30,1.5,$-6.72,0.0
2024-03-31,1.79,$-10.03,0.0
2023-12-31,3.85,$-10.88,0.0
2023-09-30,2.81,$-12.76,0.0
2023-06-30,6.45,$-13.94,0.0
2023-03-31,9.48,$-14.09,0.0
2022-12-31,11.4,$-13.94,0.0
2022-09-30,14.25,$-13.49,0.0
2022-06-30,17.25,$-14.09,0.0
2022-03-31,36.0,$-14.99,0.0
2021-12-31,36.3,$-17.09,0.0
2021-09-30,45.75,$-19.79,0.0
2021-06-30,58.35,$-20.84,0.0
2021-03-31,53.7,$-23.24,0.0
2020-12-31,32.4,$-24.74,0.0
2020-09-30,30.3,$-24.44,0.0
2020-06-30,30.45,$-24.89,0.0
2020-03-31,25.8,$-25.04,0.0
2019-12-31,38.7,$-25.79,0.0
2019-09-30,34.35,$-27.29,0.0
2019-06-30,136.5,$-27.89,0.0
2019-03-31,113.85,$-29.99,0.0
2018-12-31,105.15,$-30.58,0.0
2018-09-30,213.15,$-34.63,0.0
2018-06-30,147.45,$-53.07,0.0
2018-03-31,140.7,$-91.44,0.0
2017-12-31,145.5,$-108.37,0.0
2017-09-30,285.23,$-141.35,0.0
2017-06-30,175.35,$-143.74,0.0
2017-03-31,229.95,$-124.85,0.0
2016-12-31,189.0,$-133.24,0.0
2016-09-30,206.85,$-89.18,0.0
