Hyatt Hotels PE Ratio Historical Data,Hyatt Hotels PE Ratio Historical Data,Hyatt Hotels PE Ratio Historical Data,Hyatt Hotels PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,123.92,,9.96
2024-12-31,156.98,$12.44,12.62
2024-09-30,152.05,$13.27,11.46
2024-06-30,151.62,$9.27,16.36
2024-03-31,159.31,$6.44,24.74
2023-12-31,130.02,$2.04,63.74
2023-09-30,105.63,$4.48,23.58
2023-06-30,113.94,$4.10,27.79
2023-03-31,111.01,$5.32,20.87
2022-12-31,89.82,$4.12,21.8
2022-09-30,80.4,$1.17,68.72
2022-06-30,73.4,$2.07,35.46
2022-03-31,94.79,$0.14,677.05
2021-12-31,95.23,$-2.18,0.0
2021-09-30,76.56,$-3.92,0.0
2021-06-30,77.1,$-6.66,0.0
2021-03-31,82.13,$-8.91,0.0
2020-12-31,73.73,$-6.94,0.0
2020-09-30,53.0,$-1.86,0.0
2020-06-30,49.94,$2.53,19.74
2020-03-31,47.57,$5.66,8.4
2019-12-31,88.87,$7.27,12.22
2019-09-30,72.8,$4.59,15.86
2019-06-30,75.04,$3.88,19.34
2019-03-31,71.34,$3.74,19.08
2018-12-31,66.28,$6.55,10.12
2018-09-30,77.88,$6.77,11.5
2018-06-30,75.34,$4.81,15.66
2018-03-31,74.34,$4.83,15.39
2017-12-31,71.55,$1.97,36.32
2017-09-30,60.12,$1.66,36.22
2017-06-30,54.69,$2.00,27.35
2017-03-31,52.52,$1.81,29.02
2016-12-31,53.77,$1.52,35.37
2016-09-30,47.89,$1.47,32.58
2016-06-30,47.81,$1.18,40.52
2016-03-31,48.15,$0.96,50.16
2015-12-31,45.75,$0.86,53.2
2015-09-30,45.83,$1.80,25.46
2015-06-30,55.16,$1.83,30.14
2015-03-31,57.62,$2.04,28.24
2014-12-31,58.58,$2.25,26.04
2014-09-30,58.88,$1.25,47.11
2014-06-30,59.33,$1.39,42.68
2014-03-31,52.36,$1.61,32.52
2013-12-31,48.12,$1.30,37.02
2013-09-30,41.8,$1.19,35.12
2013-06-30,39.27,$0.98,40.07
2013-03-31,42.06,$0.52,80.89
2012-12-31,37.53,$0.53,70.81
2012-09-30,39.06,$0.75,52.09
2012-06-30,36.16,$0.69,52.4
2012-03-31,41.57,$0.67,62.04
2011-12-31,36.62,$0.67,54.66
2011-09-30,30.52,$0.39,78.26
2011-06-30,39.72,$0.48,82.74
2011-03-31,41.88,$0.40,104.69
2010-12-31,44.52,$0.37,120.33
2010-09-30,36.38,$0.27,134.74
