Warby Parker PE Ratio Historical Data,Warby Parker PE Ratio Historical Data,Warby Parker PE Ratio Historical Data,Warby Parker PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,19.01,,0.0
2024-12-31,24.21,$-0.17,0.0
2024-09-30,16.33,$-0.27,0.0
2024-06-30,16.06,$-0.39,0.0
2024-03-31,13.61,$-0.47,0.0
2023-12-31,14.1,$-0.54,0.0
2023-09-30,13.16,$-0.56,0.0
2023-06-30,11.69,$-0.62,0.0
2023-03-31,10.59,$-0.76,0.0
2022-12-31,13.49,$-0.97,0.0
2022-09-30,13.34,$-1.20,0.0
2022-06-30,11.26,$-2.44,0.0
