Associated Banc-Corp PE Ratio Historical Data,Associated Banc-Corp PE Ratio Historical Data,Associated Banc-Corp PE Ratio Historical Data,Associated Banc-Corp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,22.77,,28.82
2024-12-31,23.9,$0.79,30.25
2024-09-30,21.35,$1.20,17.79
2024-06-30,20.76,$1.17,17.75
2024-03-31,21.12,$0.99,21.33
2023-12-31,20.78,$1.13,18.39
2023-09-30,16.42,$2.45,6.7
2023-06-30,15.39,$2.54,6.06
2023-03-31,16.81,$2.54,6.62
2022-12-31,21.39,$2.35,9.1
2022-09-30,18.44,$2.14,8.62
2022-06-30,16.61,$2.08,7.98
2022-03-31,20.5,$2.08,9.86
2021-12-31,20.18,$2.19,9.22
2021-09-30,18.96,$2.10,9.03
2021-06-30,17.96,$1.80,9.98
2021-03-31,18.57,$2.18,8.52
2020-12-31,14.7,$1.87,7.86
2020-09-30,10.76,$1.90,5.66
2020-06-30,11.51,$2.13,5.4
2020-03-31,10.62,$1.68,6.32
2019-12-31,18.11,$1.91,9.48
2019-09-30,16.5,$1.99,8.29
2019-06-30,17.07,$1.98,8.62
2019-03-31,17.1,$1.99,8.59
2018-12-31,15.73,$1.89,8.32
2018-09-30,20.52,$1.69,12.14
2018-06-30,21.43,$1.62,13.23
2018-03-31,19.4,$1.48,13.11
2017-12-31,19.71,$1.43,13.78
2017-09-30,18.71,$1.46,12.82
2017-06-30,19.34,$1.39,13.91
2017-03-31,18.63,$1.34,13.91
2016-12-31,18.78,$1.26,14.9
2016-09-30,14.81,$1.19,12.45
2016-06-30,12.9,$1.16,11.12
2016-03-31,13.41,$1.16,11.56
2015-12-31,13.93,$1.19,11.71
2015-09-30,13.28,$1.23,10.8
2015-06-30,14.9,$1.23,12.11
2015-03-31,13.6,$1.20,11.33
2014-12-31,13.55,$1.17,11.58
2014-09-30,12.6,$1.14,11.05
2014-06-30,13.01,$1.10,11.83
2014-03-31,12.93,$1.10,11.76
2013-12-31,12.39,$1.10,11.26
2013-09-30,10.97,$1.08,10.16
2013-06-30,10.96,$1.07,10.25
2013-03-31,10.65,$1.03,10.34
2012-12-31,9.15,$1.00,9.15
2012-09-30,9.12,$0.97,9.4
2012-06-30,9.11,$0.91,10.01
2012-03-31,9.6,$0.82,11.71
2011-12-31,7.65,$0.67,11.42
2011-09-30,6.37,$0.48,13.26
2011-06-30,9.51,$0.32,29.71
2011-03-31,10.15,$0.11,92.28
2010-12-31,10.35,$-0.18,0.0
2010-09-30,9.0,$-1.63,0.0
2010-06-30,8.36,$-1.60,0.0
2010-03-31,9.38,$-1.73,0.0
2009-12-31,7.5,$-1.25,0.0
