Orchid Island Capital PE Ratio Historical Data,Orchid Island Capital PE Ratio Historical Data,Orchid Island Capital PE Ratio Historical Data,Orchid Island Capital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.23,,13.72
2024-12-31,7.78,$0.60,12.97
2024-09-30,7.97,$1.05,7.59
2024-06-30,7.74,$-0.87,0.0
2024-03-31,8.05,$-0.53,0.0
2023-12-31,7.29,$-0.82,0.0
2023-09-30,7.0,$-0.39,0.0
2023-06-30,8.1,$-1.11,0.0
2023-03-31,8.02,$-3.06,0.0
2022-12-31,7.52,$-7.35,0.0
2022-09-30,5.61,$-9.65,0.0
2022-06-30,8.91,$-6.25,0.0
2022-03-31,9.7,$-5.40,0.0
2021-12-31,12.85,$-2.90,0.0
2021-09-30,13.41,$-0.40,0.0
2021-06-30,13.69,$0.70,19.56
2021-03-31,15.3,$5.20,2.94
2020-12-31,12.84,$-0.15,0.0
2020-09-30,11.87,$0.15,79.15
2020-06-30,10.76,$-2.65,0.0
2020-03-31,6.49,$-5.95,0.0
2019-12-31,12.19,$2.20,5.54
2019-09-30,11.49,$-1.85,0.0
2019-06-30,12.21,$-1.45,0.0
2019-03-31,12.17,$-1.65,0.0
2018-12-31,11.41,$-4.30,0.0
2018-09-30,12.63,$-2.30,0.0
2018-06-30,12.69,$-0.35,0.0
2018-03-31,11.99,$-1.80,0.0
2017-12-31,14.49,$0.10,144.93
2017-09-30,15.24,$-2.90,0.0
2017-06-30,14.13,$-0.30,0.0
2017-03-31,13.75,$2.45,5.61
2016-12-31,14.33,$1.05,13.65
2016-09-30,13.26,$6.45,2.06
2016-06-30,12.6,$0.10,125.98
2016-03-31,12.2,$-2.05,0.0
2015-12-31,11.18,$0.65,17.2
2015-09-30,9.97,$0.05,199.38
2015-06-30,11.52,$5.30,2.17
2015-03-31,13.08,$11.85,1.1
2014-12-31,12.39,$13.75,0.9
2014-09-30,12.12,$14.70,0.82
2014-06-30,11.47,$10.05,1.14
2014-03-31,10.01,$1.90,5.27
2013-12-31,10.49,$-0.65,0.0
