Antelope Enterprise Holdings L PE Ratio Historical Data,Antelope Enterprise Holdings L PE Ratio Historical Data,Antelope Enterprise Holdings L PE Ratio Historical Data,Antelope Enterprise Holdings L PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.11,,0.0
2024-06-30,2.79,$-534.35,0.0
2016-12-31,6.84,$-524.75,0.0
2016-09-30,9.33,$-699.67,0.0
2016-06-30,6.27,$-651.07,0.0
2016-03-31,9.01,$-650.47,0.0
2015-12-31,23.52,$-655.27,0.0
2015-09-30,18.72,$100.81,0.19
2015-06-30,27.6,$117.61,0.23
2015-03-31,27.84,$84.01,0.33
2014-12-31,19.44,$-55.20,0.0
2014-09-30,23.66,$-64.81,0.0
2014-06-30,31.94,$-124.81,0.0
2014-03-31,38.68,$-108.01,0.0
2013-12-31,57.2,$16.80,3.4
2013-09-30,75.18,$43.20,1.74
2013-06-30,46.82,$172.82,0.27
2013-03-31,46.27,$312.03,0.15
2012-12-31,46.27,$456.05,0.1
2012-09-30,39.82,$600.06,0.07
2012-06-30,66.07,$619.26,0.11
2012-03-31,85.87,$607.26,0.14
2011-12-31,62.2,$580.86,0.11
2011-09-30,59.83,$549.66,0.11
2011-06-30,96.63,$595.26,0.16
2011-03-31,132.79,$643.26,0.21
2010-12-31,168.52,$691.27,0.24
2010-09-30,116.22,$657.67,0.18
2010-06-30,127.19,$777.68,0.16
2010-03-31,193.7,$847.29,0.23
2009-12-31,178.63,$880.89,0.2
