"Summit Midstream Partners, LP PE Ratio Historical Data","Summit Midstream Partners, LP PE Ratio Historical Data","Summit Midstream Partners, LP PE Ratio Historical Data","Summit Midstream Partners, LP PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,37.49,,6.08
2024-06-30,35.56,$6.17,5.76
2024-03-31,28.07,$7.17,3.91
2023-12-31,17.91,$-6.12,0.0
2023-09-30,13.85,$-7.03,0.0
2023-06-30,16.25,$-8.04,0.0
2023-03-31,15.35,$-15.66,0.0
2022-12-31,16.68,$-12.52,0.0
2022-09-30,15.02,$-12.91,0.0
2022-06-30,12.73,$-11.80,0.0
2022-03-31,14.88,$-5.18,0.0
2021-12-31,22.2,$-6.38,0.0
2021-09-30,35.55,$26.77,1.33
2021-06-30,30.38,$45.68,0.67
2021-03-31,23.57,$64.48,0.37
2020-12-31,12.49,$63.91,0.2
2020-09-30,9.81,$-22.64,0.0
2020-06-30,14.86,$-44.53,0.0
2020-03-31,9.15,$-60.87,0.0
2019-12-31,47.59,$-69.12,0.0
2019-09-30,65.91,$-6.45,0.0
2019-06-30,96.86,$6.30,15.38
2019-03-31,122.62,$-5.10,0.0
2018-12-31,121.29,$0.90,134.82
2018-09-30,166.26,$-9.75,0.0
2018-06-30,173.16,$-1.05,0.0
2018-03-31,151.79,$12.59,12.05
2017-12-31,215.76,$14.69,14.68
2017-09-30,204.68,$21.89,9.35
2017-06-30,225.94,$3.60,62.79
2017-03-31,233.47,$-9.74,0.0
2016-12-31,238.75,$-10.94,0.0
2016-09-30,211.92,$-62.52,0.0
2016-06-30,205.62,$-57.72,0.0
2016-03-31,148.59,$-45.43,0.0
2015-12-31,158.4,$-43.63,0.0
2015-09-30,144.74,$-4.20,0.0
2015-06-30,265.66,$-7.80,0.0
2015-03-31,254.26,$-7.80,0.0
2014-12-31,296.09,$-6.60,0.0
2014-09-30,391.63,$7.50,52.24
2014-06-30,387.39,$8.10,47.85
2014-03-31,322.83,$9.75,33.13
2013-12-31,272.62,$12.29,22.18
2013-09-30,249.1,$13.19,18.88
2013-06-30,247.37,$11.39,21.71
