Jack Henry & Associates PE Ratio Historical Data,Jack Henry & Associates PE Ratio Historical Data,Jack Henry & Associates PE Ratio Historical Data,Jack Henry & Associates PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,175.3,,31.64
2024-12-31,175.3,$5.54,31.64
2024-09-30,175.99,$5.46,32.23
2024-06-30,164.97,$5.22,31.6
2024-03-31,172.07,$5.18,33.22
2023-12-31,161.34,$5.11,31.57
2023-09-30,148.73,$4.95,30.05
2023-06-30,164.1,$5.02,32.69
2023-03-31,147.29,$4.78,30.81
2022-12-31,171.03,$4.82,35.48
2022-09-30,177.11,$5.02,35.28
2022-06-30,174.49,$4.94,35.32
2022-03-31,190.49,$4.88,39.04
2021-12-31,161.0,$4.67,34.48
2021-09-30,157.7,$4.31,36.59
2021-06-30,156.76,$4.12,38.05
2021-03-31,145.02,$3.88,37.38
2020-12-31,154.37,$3.89,39.68
2020-09-30,154.53,$3.89,39.73
2020-06-30,174.44,$3.86,45.19
2020-03-31,146.79,$3.85,38.13
2019-12-31,137.35,$3.66,37.53
2019-09-30,137.27,$3.60,38.13
2019-06-30,125.6,$3.52,35.68
2019-03-31,129.74,$3.83,33.87
2018-12-31,117.96,$3.99,29.56
2018-09-30,148.85,$5.12,29.07
2018-06-30,120.94,$4.86,24.88
2018-03-31,111.86,$4.59,24.37
2017-12-31,107.83,$4.43,24.34
2017-09-30,94.51,$3.17,29.81
2017-06-30,95.21,$3.14,30.32
2017-03-31,85.08,$3.37,25.25
2016-12-31,80.87,$3.28,24.65
2016-09-30,77.68,$3.27,23.76
2016-06-30,78.99,$3.12,25.32
2016-03-31,76.29,$2.81,27.15
2015-12-31,70.18,$2.76,25.43
2015-09-30,62.38,$2.74,22.77
2015-06-30,57.77,$2.74,21.08
2015-03-31,62.16,$2.59,24.0
2014-12-31,55.06,$2.51,21.94
2014-09-30,49.14,$2.42,20.31
2014-06-30,52.27,$2.36,22.15
2014-03-31,48.85,$2.31,21.15
2013-12-31,51.68,$2.29,22.57
2013-09-30,44.93,$2.13,21.1
2013-06-30,40.83,$2.04,20.02
2013-03-31,39.87,$1.99,20.03
2012-12-31,33.77,$1.88,17.96
2012-09-30,32.46,$1.85,17.55
2012-06-30,29.51,$1.78,16.58
2012-03-31,29.07,$1.70,17.1
2011-12-31,28.54,$1.66,17.19
2011-09-30,24.53,$1.64,14.96
2011-06-30,25.31,$1.59,15.92
2011-03-31,28.49,$1.52,18.74
2010-12-31,24.42,$1.51,16.17
2010-09-30,21.29,$1.44,14.78
2010-06-30,19.86,$1.38,14.39
2010-03-31,19.93,$1.36,14.66
2009-12-31,19.09,$1.29,14.8
