Bowman Consulting Group PE Ratio Historical Data,Bowman Consulting Group PE Ratio Historical Data,Bowman Consulting Group PE Ratio Historical Data,Bowman Consulting Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,24.06,,0.0
2024-12-31,24.95,$-0.20,0.0
2024-09-30,24.08,$-0.79,0.0
2024-06-30,31.79,$-0.75,0.0
2024-03-31,34.79,$-0.67,0.0
2023-12-31,35.52,$-0.52,0.0
2023-09-30,28.03,$0.10,280.3
2023-06-30,31.88,$0.27,118.07
2023-03-31,28.71,$0.29,99.0
2022-12-31,21.85,$0.37,59.05
2022-09-30,14.6,$0.27,54.07
2022-06-30,12.34,$0.05,246.8
2022-03-31,16.44,$0.02,822.0
