HF Sinclair PE Ratio Historical Data,HF Sinclair PE Ratio Historical Data,HF Sinclair PE Ratio Historical Data,HF Sinclair PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,33.89,,41.33
2024-12-31,35.05,$0.82,42.74
2024-09-30,44.05,$1.62,27.19
2024-06-30,52.16,$6.25,8.35
2024-03-31,58.52,$8.08,7.24
2023-12-31,53.41,$8.30,6.43
2023-09-30,54.27,$11.56,4.69
2023-06-30,42.19,$11.78,3.58
2023-03-31,45.25,$14.59,3.1
2022-12-31,48.12,$13.70,3.51
2022-09-30,49.62,$10.54,4.71
2022-06-30,41.3,$7.80,5.29
2022-03-31,36.13,$3.40,10.63
2021-12-31,29.72,$3.40,8.74
2021-09-30,30.04,$2.91,10.32
2021-06-30,29.83,$1.19,25.07
2021-03-31,32.44,$-0.93,0.0
2020-12-31,23.22,$-3.71,0.0
2020-09-30,17.43,$-2.61,0.0
2020-06-30,25.48,$-1.02,0.0
2020-03-31,21.15,$1.22,17.33
2019-12-31,43.4,$4.57,9.5
2019-09-30,45.6,$5.01,9.1
2019-06-30,39.06,$5.36,7.29
2019-03-31,41.27,$6.15,6.71
2018-12-31,42.55,$6.18,6.89
2018-09-30,57.87,$8.29,6.98
2018-06-30,56.39,$7.89,7.15
2018-03-31,40.08,$6.28,6.38
2017-12-31,41.71,$4.52,9.23
2017-09-30,29.07,$1.90,15.3
2017-06-30,21.94,$0.79,27.77
2017-03-31,22.35,$-1.87,0.0
2016-12-31,25.55,$-1.49,0.0
2016-09-30,18.89,$-2.03,0.0
2016-06-30,18.11,$-1.41,0.0
2016-03-31,26.58,$2.80,9.49
2015-12-31,29.73,$3.84,7.74
2015-09-30,36.15,$2.95,12.25
2015-06-30,31.38,$2.79,11.25
2015-03-31,29.36,$1.80,16.31
2014-12-31,27.11,$1.40,19.36
2014-09-30,30.99,$2.84,10.91
2014-06-30,30.5,$2.37,12.87
2014-03-31,32.66,$2.76,11.83
2013-12-31,33.53,$3.63,9.24
2013-09-30,27.93,$5.24,5.33
2013-06-30,27.89,$7.77,3.59
2013-03-31,32.98,$8.88,3.71
2012-12-31,29.41,$8.41,3.5
2012-09-30,25.65,$7.55,3.4
2012-06-30,21.4,$7.09,3.02
2012-03-31,19.01,$6.49,2.93
2011-12-31,13.59,$6.12,2.22
2011-09-30,14.82,$5.20,2.85
2011-06-30,19.29,$3.20,6.04
2011-03-31,16.85,$2.03,8.32
2010-12-31,11.27,$0.97,11.62
2010-09-30,7.92,$0.44,18.0
2010-06-30,7.28,$0.20,37.34
2010-03-31,7.6,$-0.28,0.0
2009-12-31,6.94,$0.21,33.87
