Star Group PE Ratio Historical Data,Star Group PE Ratio Historical Data,Star Group PE Ratio Historical Data,Star Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.45,,12.93
2024-12-31,11.54,$1.04,11.1
2024-09-30,11.56,$0.57,20.29
2024-06-30,10.32,$1.02,10.12
2024-03-31,9.57,$0.66,14.5
2023-12-31,10.85,$0.52,20.87
2023-09-30,11.17,$0.53,21.07
2023-06-30,12.52,$-0.28,0.0
2023-03-31,11.74,$0.10,117.4
2022-12-31,10.78,$0.43,25.07
2022-09-30,7.15,$0.42,17.01
2022-06-30,7.94,$1.20,6.61
2022-03-31,9.47,$1.19,7.96
2021-12-31,9.07,$1.15,7.88
2021-09-30,8.47,$1.57,5.4
2021-06-30,9.2,$1.47,6.26
2021-03-31,8.58,$1.77,4.85
2020-12-31,7.52,$1.09,6.9
2020-09-30,7.69,$0.84,9.15
2020-06-30,6.82,$0.83,8.21
2020-03-31,5.88,$0.37,15.89
2019-12-31,7.13,$0.49,14.55
2019-09-30,7.04,$0.04,176.11
2019-06-30,7.34,$0.33,22.23
2019-03-31,6.96,$0.64,10.87
2018-12-31,6.69,$0.47,14.23
2018-09-30,6.99,$0.88,7.95
2018-06-30,6.93,$0.96,7.22
2018-03-31,6.53,$0.87,7.51
2017-12-31,7.44,$0.60,12.4
2017-09-30,7.77,$0.48,16.19
2017-06-30,7.35,$0.46,15.97
2017-03-31,6.16,$0.64,9.63
2016-12-31,7.14,$0.89,8.02
2016-09-30,6.34,$0.77,8.23
2016-06-30,5.76,$0.32,18.01
2016-03-31,5.39,$0.23,23.43
2015-12-31,4.71,$0.58,8.13
2015-09-30,5.32,$0.64,8.31
2015-06-30,5.48,$0.98,5.59
2015-03-31,4.53,$0.96,4.72
2014-12-31,3.69,$0.55,6.7
2014-09-30,3.4,$0.61,5.58
2014-06-30,3.64,$0.82,4.44
2014-03-31,3.39,$0.86,3.95
2013-12-31,3.0,$0.65,4.62
2013-09-30,2.77,$0.48,5.78
2013-06-30,2.71,$0.63,4.3
2013-03-31,2.48,$0.57,4.34
2012-12-31,2.19,$0.54,4.06
2012-09-30,2.27,$0.43,5.28
2012-06-30,2.16,$0.12,17.98
2012-03-31,2.09,$0.04,52.32
2011-12-31,2.42,$-0.01,0.0
2011-09-30,2.4,$0.24,9.98
2011-06-30,2.58,$0.43,5.99
2011-03-31,2.71,$0.56,4.84
2010-12-31,2.49,$0.52,4.79
2010-09-30,2.19,$0.38,5.75
2010-06-30,1.98,$1.02,1.94
2010-03-31,1.94,$1.13,1.72
2009-12-31,1.82,$1.99,0.91
