Inovio Pharmaceuticals PE Ratio Historical Data,Inovio Pharmaceuticals PE Ratio Historical Data,Inovio Pharmaceuticals PE Ratio Historical Data,Inovio Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.94,,0.0
2024-12-31,1.83,$-3.39,0.0
2024-09-30,5.78,$-3.39,0.0
2024-06-30,8.08,$-4.06,0.0
2024-03-31,13.88,$-4.43,0.0
2023-12-31,6.12,$-5.04,0.0
2023-09-30,4.67,$-7.56,0.0
2023-06-30,5.36,$-7.80,0.0
2023-03-31,9.84,$-11.76,0.0
2022-12-31,18.72,$-14.17,0.0
2022-09-30,20.7,$-17.65,0.0
2022-06-30,20.76,$-19.33,0.0
2022-03-31,43.08,$-18.49,0.0
2021-12-31,59.88,$-17.41,0.0
2021-09-30,85.92,$-13.09,0.0
2021-06-30,111.24,$-8.28,0.0
2021-03-31,111.36,$-13.57,0.0
2020-12-31,106.2,$-13.45,0.0
2020-09-30,139.2,$-16.33,0.0
2020-06-30,323.4,$-20.65,0.0
2020-03-31,89.28,$-14.29,0.0
2019-12-31,39.6,$-14.77,0.0
2019-09-30,24.6,$-14.29,0.0
2019-06-30,35.28,$-14.53,0.0
2019-03-31,44.76,$-11.88,0.0
2018-12-31,48.0,$-12.61,0.0
2018-09-30,66.72,$-11.40,0.0
2018-06-30,47.04,$-12.97,0.0
2018-03-31,56.52,$-13.57,0.0
2017-12-31,49.56,$-12.97,0.0
2017-09-30,76.08,$-14.41,0.0
2017-06-30,94.08,$-12.97,0.0
2017-03-31,79.44,$-14.53,0.0
2016-12-31,83.28,$-12.12,0.0
2016-09-30,111.84,$-10.80,0.0
2016-06-30,110.88,$-6.60,0.0
2016-03-31,104.52,$-4.56,0.0
2015-12-31,80.64,$-5.40,0.0
2015-09-30,69.3,$-3.84,0.0
2015-06-30,97.92,$-6.12,0.0
2015-03-31,97.92,$-7.32,0.0
2014-12-31,110.16,$-5.76,0.0
2014-09-30,118.2,$-7.68,0.0
2014-06-30,129.72,$-13.93,0.0
2014-03-31,159.84,$-14.53,0.0
2013-12-31,139.2,$-16.33,0.0
2013-09-30,99.36,$-12.97,0.0
2013-06-30,38.21,$-7.68,0.0
2013-03-31,28.56,$-6.24,0.0
2012-12-31,23.98,$-6.72,0.0
2012-09-30,28.08,$-8.64,0.0
2012-06-30,22.08,$-8.16,0.0
2012-03-31,32.11,$-7.68,0.0
2011-12-31,20.54,$-5.76,0.0
2011-09-30,27.12,$-6.72,0.0
2011-06-30,28.82,$-5.28,0.0
2011-03-31,52.8,$-7.68,0.0
2010-12-31,55.2,$-7.68,0.0
2010-09-30,60.0,$-8.16,0.0
2010-06-30,48.96,$-9.12,0.0
2010-03-31,63.36,$-14.89,0.0
2009-12-31,54.72,$-17.77,0.0
