TriCo Bancshares PE Ratio Historical Data,TriCo Bancshares PE Ratio Historical Data,TriCo Bancshares PE Ratio Historical Data,TriCo Bancshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,40.47,,11.7
2024-12-31,43.7,$3.46,12.63
2024-09-30,42.36,$3.36,12.61
2024-06-30,39.0,$3.40,11.47
2024-03-31,35.93,$3.28,10.95
2023-12-31,41.58,$3.52,11.81
2023-09-30,30.76,$3.83,8.03
2023-06-30,31.59,$4.03,7.84
2023-03-31,39.27,$4.21,9.33
2022-12-31,47.83,$3.81,12.55
2022-09-30,41.64,$3.66,11.38
2022-06-30,42.29,$3.46,12.22
2022-03-31,36.88,$3.48,10.6
2021-12-31,39.35,$3.94,9.99
2021-09-30,39.51,$3.79,10.43
2021-06-30,38.53,$3.46,11.14
2021-03-31,42.63,$2.76,15.45
2020-12-31,31.59,$2.16,14.63
2020-09-30,21.79,$2.12,10.28
2020-06-30,26.87,$2.29,11.73
2020-03-31,26.1,$2.79,9.36
2019-12-31,35.43,$3.00,11.81
2019-09-30,31.34,$3.01,10.41
2019-06-30,32.44,$2.78,11.67
2019-03-31,33.56,$2.68,12.52
2018-12-31,28.72,$2.54,11.31
2018-09-30,32.65,$1.91,17.1
2018-06-30,31.53,$1.89,16.68
2018-03-31,31.19,$1.82,17.14
2017-12-31,31.59,$1.74,18.16
2017-09-30,33.86,$2.15,15.75
2017-06-30,29.06,$2.17,13.39
2017-03-31,29.24,$2.00,14.62
2016-12-31,28.01,$1.95,14.37
2016-09-30,21.84,$1.91,11.44
2016-06-30,22.4,$1.93,11.6
2016-03-31,20.44,$2.01,10.17
2015-12-31,22.02,$1.90,11.59
2015-09-30,19.61,$1.65,11.89
2015-06-30,19.1,$1.60,11.94
2015-03-31,19.06,$1.41,13.52
2014-12-31,19.42,$1.50,12.95
2014-09-30,17.71,$1.57,11.28
2014-06-30,18.03,$1.52,11.86
2014-03-31,20.1,$1.61,12.49
2013-12-31,21.9,$1.69,12.96
2013-09-30,17.52,$1.66,10.55
2013-06-30,16.32,$1.52,10.74
2013-03-31,13.01,$1.46,8.91
2012-12-31,12.68,$1.18,10.75
2012-09-30,12.45,$1.30,9.58
2012-06-30,11.54,$1.39,8.3
2012-03-31,12.97,$1.23,10.54
2011-12-31,10.53,$1.15,9.16
2011-09-30,9.03,$0.94,9.61
2011-06-30,10.67,$0.54,19.76
2011-03-31,11.84,$0.45,26.32
2010-12-31,11.66,$0.38,30.68
2010-09-30,11.03,$0.32,34.46
2010-06-30,12.07,$0.46,26.24
2010-03-31,14.12,$0.54,26.14
2009-12-31,11.73,$0.62,18.92
